Date,Close,High,Low,Open,Volume
02/03/2020,13971.96191,14731,13929.29492,13941.3418,0
03/03/2020,14220,14277,14056.90039,14220,0
04/03/2020,14199.5,14275,14057.5,14275,0
05/03/2020,14256,14292.5,14111,14255,0
06/03/2020,14309.59961,14463.7998,14187,14462,0
09/03/2020,14251.53906,14796,14124.76465,14124.76465,0
10/03/2020,14094.81836,14702,13877.81836,14702,0
11/03/2020,14272.90039,14481,14273.09961,14291.5,0
12/03/2020,14526,14709.5,14244.03125,14524,0
13/03/2020,14850,14984,14060,14850,0
16/03/2020,14635.02246,15131.5,14610.83301,14624.85059,0
17/03/2020,15192,15280.5,14923.96387,14923.96387,0
18/03/2020,14955.78809,15523,14889.90039,15199,0
19/03/2020,15474.5,16180,15437.5,15472.5,0
20/03/2020,15908,16327.5,15785.5,15913,0
23/03/2020,15766.24707,16639.5,16045,16625,0
24/03/2020,16504.80078,16915,16149,16915,0
25/03/2020,16216.5,16493,15701,16220,0
26/03/2020,16447.7207,16449.21875,15959.5,16201,0
27/03/2020,16218.63672,16355,14944.5,16208.7373,0
30/03/2020,16005.33496,16439.5,15739.6123,15739.6123,0
31/03/2020,16346.96191,16474.5,16034.5,16408,0
01/04/2020,16277.94336,17178,16273,16395.5,0
02/04/2020,16412.80859,17144,16399.5,17144,0
03/04/2020,16441.26367,16849,16440.92383,16820,0
06/04/2020,16418,16785,16352.00879,16373.57129,0
07/04/2020,16364.64844,16633.5,15969.5,16633.5,0
08/04/2020,16225,16349.5,16054.5,16225,0
09/04/2020,16159.37695,16241,15710.2998,16241,0
10/04/2020,15811.96777,15835,15587.2002,15835,0
13/04/2020,15800,15854,15610.5,15801,0
14/04/2020,15751,15778,15351.5,15766,0
15/04/2020,15578.34668,15793,15568,15747.5,0
16/04/2020,15887.5,15881,15319.5,15881,0
17/04/2020,15568.33887,15821,15383.2002,15821,0
20/04/2020,15423,15662,15172.31055,15172.58984,0
21/04/2020,15377.08008,15712,15375.48047,15712,0
22/04/2020,15394.67871,15875.5,15388.15723,15875.5,0
23/04/2020,15408.62207,15770.5,15416.74707,15770.5,0
24/04/2020,15665,15784.5,15398.67676,15660.5,0
27/04/2020,15348.74414,15584,15348.25977,15348.25977,0
28/04/2020,15312.38574,15637,15299.08984,15637,0
29/04/2020,15364.59473,15497.7998,15180.2998,15497.7998,0
30/04/2020,15234.63672,15241.64258,14399,15237.7998,0
01/05/2020,15249,15446,14535.05078,15252.7998,0
04/05/2020,14671,15236,14841.54102,14841.54102,0
05/05/2020,15044,15293,14989.90039,15043,0
06/05/2020,15335,15332.7998,15026.5,15332.7998,0
07/05/2020,14998.33203,15430,14993.84277,15430,0
08/05/2020,15227,15227,14880.5,15227,0
11/05/2020,14721.39844,14980,14868.5,14899.76074,0
12/05/2020,14848.7002,15057.5,14773,15057.5,0
13/05/2020,14994,14997.7998,14777,14997.7998,0
14/05/2020,14846.87305,14973,14824.2002,14962,0
15/05/2020,14810.12012,15027,14814.44238,15027,0
18/05/2020,14853,14912.5,14799.2998,14853,0
19/05/2020,14878,14885.5,14749.2998,14885.5,0
20/05/2020,14748.44727,14855.5,14682,14855.5,0
21/05/2020,14771,14773.5,14671.5,14773.5,0
22/05/2020,14826,14924,14684.9707,14828.5,0
25/05/2020,14703,14875,14502.71191,14654.9541,0
26/05/2020,14501.75781,15008.5,14496.7002,15008.5,0
27/05/2020,14850,14842.5,14680,14842.5,0
28/05/2020,14888.5,14815.2998,14633.35059,14786.2998,0
29/05/2020,14825,14882.24121,14507,14817.5,0
01/06/2020,14603,14603,14435.5,14540.71289,0
02/06/2020,14573.5,14603,14334,14570,0
03/06/2020,14343.82324,14375.09961,14082,14375.09961,0
04/06/2020,14130,14194.2998,14043.38867,14130,0
05/06/2020,14085.44727,14170,13888,14170,0
08/06/2020,13863,14034,13804.83301,13810.25488,0
09/06/2020,14070.7998,14123.7998,13835.66211,14071,0
10/06/2020,13852.10352,14249.2002,13852.9043,14249.2002,0
11/06/2020,13947.44336,14249.5,13944.57324,14220,0
12/06/2020,14475,14475,13947.61914,14475,0
15/06/2020,14118,14312.7002,13976.27637,14045.76758,0
16/06/2020,13988.11914,14235.7002,13983.33105,13987.91895,0
17/06/2020,14275,14243.40039,14013.88086,14021.67773,0
18/06/2020,14102.73535,14243.09961,14047.58008,14086.98047,0
19/06/2020,13997.69238,14250.2998,14000.81445,14001.02637,0
22/06/2020,14093,14301.5,14045.91113,14055.63672,0
23/06/2020,14080.13477,14267.90039,14020.59961,14079.16113,0
24/06/2020,14113.17773,14250.7002,14080,14250.7002,0
25/06/2020,14289.2998,14288.09961,14102.7002,14190.09961,0
26/06/2020,14376.2002,14364.59961,14098.19824,14098.19824,0
29/06/2020,14213,14397.09961,14132.84375,14137.45508,0
30/06/2020,14470.2002,14593.5,14149.69336,14149.69336,0
01/07/2020,14194.05078,14604.2002,14148.2002,14604.2002,0
02/07/2020,14187.8584,14591.40039,14187.90039,14591.40039,0
03/07/2020,14298.7793,14626.40039,14298.25098,14626.40039,0
06/07/2020,14503,14526.2998,14266.79102,14288.57227,0
07/07/2020,14206.50879,14483,14182.48438,14206.97363,0
08/07/2020,14483.5,14483.5,14234.60352,14483.5,0
09/07/2020,14349.56543,14523,14341.73242,14498.7002,0
10/07/2020,14545.7002,14545.7002,14314.50293,14545.7002,0
13/07/2020,14428,14493,14205.00195,14208.80566,0
14/07/2020,14584,14614.2002,14348,14584.7002,0
15/07/2020,14715.40039,14605.7998,14345.41211,14364.61719,0
16/07/2020,14561.17188,14674.5,14560,14588.14746,0
17/07/2020,14552.20996,14830,14546.41211,14830,0
